Generation,Legendary,Total,Sp. Atk,Sp. Def,Defense,Attack,HP,Speed,Type 1
5,1,580,125,80,70,115,79,111,5
5,1,580,110,90,80,100,79,121,5
5,1,580,125,80,70,115,79,111,11
5,1,580,145,80,70,105,79,101,11
5,1,680,150,120,100,120,100,90,14
5,1,680,120,100,120,150,100,90,14
5,1,600,115,80,90,125,89,101,7
5,1,600,105,80,90,145,89,91,7
5,1,660,130,90,90,130,125,95,14
5,1,700,120,90,100,170,125,95,14
5,1,700,170,100,90,120,125,95,14
5,0,580,129,90,90,72,91,108,3
5,0,580,129,90,90,72,91,108,3
5,0,600,128,128,77,77,100,90,0
5,0,600,77,77,90,128,100,128,0
5,0,600,120,95,95,120,71,99,9
6,0,313,48,45,65,61,56,38,1
6,0,405,56,58,95,78,61,57,1
6,0,530,74,75,122,107,88,64,1
6,0,307,62,60,40,45,40,60,2
6,0,409,90,70,58,59,59,73,2
6,0,534,114,100,72,69,75,104,2
6,0,314,62,44,40,56,41,71,3
6,0,405,83,56,52,63,54,97,3
6,0,530,103,71,67,95,72,122,3
6,0,237,32,36,38,36,38,57,0
6,0,423,50,77,77,56,85,78,0
6,0,278,40,38,43,50,45,62,0
6,0,382,56,52,55,73,62,84,2
6,0,499,74,69,71,81,78,126,2
6,0,200,27,25,40,35,38,35,9
6,0,213,27,30,60,22,45,29,9
6,0,411,90,50,50,52,80,89,9
6,0,369,73,54,58,50,62,72,2
6,0,507,109,66,72,68,86,106,2
6,0,303,61,79,39,38,44,42,17
6,0,371,75,98,47,45,54,52,17
6,0,552,112,154,68,65,78,75,17
6,0,350,62,57,48,65,66,52,1
6,0,531,97,81,62,100,123,68,1
6,0,348,46,48,62,82,67,43,4
6,0,495,69,71,78,124,95,58,4
6,0,472,65,90,60,80,75,102,0
6,0,355,63,60,54,48,62,68,12
6,0,466,83,81,76,48,74,104,12
6,0,466,83,81,76,48,74,104,12
6,0,325,35,37,100,80,45,28,16
6,0,448,45,49,150,110,59,35,16
6,0,520,150,50,50,150,60,60,16
6,0,520,50,150,150,50,60,60,16
6,0,341,63,65,60,52,78,23,17
6,0,462,99,89,72,72,101,29,17
6,0,341,59,57,66,48,62,49,17
6,0,480,85,75,86,80,82,72,17
6,0,288,37,46,53,54,53,45,15
6,0,482,68,75,88,92,86,73,15
6,0,306,39,56,67,52,42,50,8
6,0,500,54,86,115,105,72,68,8
6,0,320,60,60,60,60,50,30,6
6,0,494,97,123,90,75,65,44,6
6,0,330,58,63,62,53,50,44,3
6,0,500,120,89,88,73,71,59,3
6,0,289,61,43,33,38,44,70,11
6,0,481,109,94,52,55,62,109,11
6,0,362,45,45,77,89,58,48,8
6,0,521,69,59,119,121,82,71,8
6,0,362,67,63,50,59,77,46,8
6,0,521,99,92,72,77,123,58,8
6,0,525,110,130,65,65,95,60,17
6,0,500,74,63,75,92,78,118,4
6,0,431,81,67,57,58,67,101,11
6,0,500,50,150,150,50,50,50,8
6,0,300,55,75,35,50,45,40,14
6,0,452,83,113,53,75,68,60,14
6,0,600,110,150,70,100,90,80,14
6,0,470,80,87,91,80,57,75,16
6,0,309,50,60,48,70,43,38,10
6,0,474,65,82,76,110,85,56,10
6,0,335,44,55,70,66,49,51,10
6,0,335,44,55,70,66,44,56,10
6,0,335,44,55,70,66,54,46,10
6,0,335,44,55,70,66,59,41,10
6,0,494,58,75,122,90,65,84,10
6,0,494,58,75,122,85,55,99,10
6,0,494,58,75,122,95,75,69,10
6,0,494,58,75,122,100,85,54,10
6,0,304,32,35,85,69,55,28,13
6,0,514,44,46,184,117,95,28,13
6,0,245,45,40,35,30,40,55,5
6,0,535,97,80,80,70,85,123,5
6,1,680,131,98,95,131,126,99,17
6,1,680,131,98,95,131,126,99,15
6,1,600,81,95,121,100,108,95,14
6,1,600,100,150,150,100,50,50,8
6,1,700,160,110,110,160,50,110,8
6,1,600,150,130,60,110,80,70,12
6,1,680,170,130,60,160,80,80,12
6,1,600,130,90,120,110,80,70,2
